GEOID,submarket
48021950102,Outlying Bastrop County
48021950101,Outlying Bastrop County
48021950202,Outlying Bastrop County
48021950403,Bastrop
48021950301,Outlying Bastrop County
48021950402,Bastrop
48021950201,Outlying Bastrop County
48021950302,Bastrop
48021950401,Bastrop
48021950303,Outlying Bastrop County
48021950505,Bastrop
48021950503,Bastrop
48021950504,Outlying Bastrop County
48021950601,Outlying Bastrop County
48021950805,Outlying Bastrop County
48021950602,Outlying Bastrop County
48021950506,Bastrop
48021950806,Outlying Bastrop County
48021950804,Outlying Bastrop County
48021950803,Outlying Bastrop County
48453040700,Eubank Acres - south
48453041900,Eubank Acres - north
48453041100,Eubank Acres - north
48453036700,Oak Hill
48453044000,Dessau
48453043700,Walnut Forest
48453036800,Oak Hill
48453041500,Walnut Forest
48453002213,Daffan
48453002447,Pleasant Hill - east
48453041000,Eubank Acres - south
48453001312,Downtown - south
48453044400,Dessau
48453047000,Elgin
48453044900,Dessau
48453002453,Daffan
48453041600,Walnut Forest
48453035200,West Travis County
48453040000,Hyde Park
48453036400,West Travis County
48453034500,Anderson Mill
48453032400,Jollyville - south
48453033800,Anderson Mill
48453030100,St Edwards Park
48453030800,Jollyville - south
48453035300,West Travis County
48453031600,Jollyville - south
48453032500,Jollyville - south
48453045600,Wells Branch
48453043000,Jollyville - north
48453034200,Jollyville - south
48453041300,Jollyville - south
48453042000,Jollyville - north
48453045100,Eubank Acres - north
48453041400,IBM area
48453032100,Sunset Valley
48453043100,Eubank Acres - south
48453042500,Elgin
48453046400,Pflugerville
48453040200,St Johns Park
48453033900,Oak Hill
48453045200,Eubank Acres - north
48453035400,West Travis County
48453042200,IBM area
48453030000,St Edwards Park
48453043800,Walnut Forest
48453030500,St Edwards Park
48453032800,St Edwards Park
48453046200,Pflugerville
48453046000,Pflugerville
48453042800,Pflugerville
48453001311,Downtown - south
48453046300,Pflugerville
48453002449,Daffan
48453035800,Anderson Mill
48453042300,Wells Branch
48453045700,Wells Branch
48453045500,Wells Branch
48453042900,Wells Branch
48453031300,Sunset Valley
48453031900,Sunset Valley
48453044600,Dessau
48453046500,Pflugerville
48453044100,Dessau
48453046800,Elgin
48453042700,Pflugerville
48453002439,Pleasant Hill - east
48453042100,Eubank Acres - north
48453044500,Dessau
48453043900,Dessau
48453033500,Sunset Valley
48453002440,Pleasant Hill - east
48453042600,Pflugerville
48453046100,Pflugerville
48453002446,Pleasant Hill - east
48453002445,Pleasant Hill - east
48453002442,Pleasant Hill - east
48453045900,Elgin
48453035600,Anderson Mill
48453035500,Anderson Mill
48453002219,Daffan
48491020119,Georgetown - west
48491020122,Georgetown - west
48491020514,Brushy Creek
48491020511,Round Rock - south
48491020349,Cedar Park
48491020336,Cedar Park
48491020517,Brushy Creek
48491021509,Round Rock - east
48491020608,Georgetown - west
48491021512,Round Rock - east
48491020607,Georgetown - west
48491021518,Round Rock - east
48491020346,Cedar Park
48491021511,Round Rock - east
48491020337,Cedar Park
48491020812,Hutto
48491020342,Cedar Park
48491020814,Round Rock - east
48491021517,Round Rock - east
48491020354,Cedar Park
48491020710,Round Rock - east
48491020512,Round Rock - south
48491020712,Round Rock - east
48491020713,Round Rock - east
48491020333,Cedar Park
48491020606,Georgetown - west
48491020819,Hutto
48491020711,Round Rock - east
48491020352,Cedar Park
48453001923,West End
48453033000,Oak Hill
48453036900,West Travis County
48453001309,West End
48453036600,Oak Hill
48453034000,Oak Hill
48453037400,West Travis County
48453030200,Jollyville - south
48453032200,Far West Blvd
48453032300,Far West Blvd
48453030700,Far West Blvd
48453032000,Oak Hill
48453043500,Walnut Forest
48453042400,Elgin
48453040300,Walnut Forest
48453043600,Walnut Forest
48453031800,Sunset Valley
48453031700,Sunset Valley
48453031000,Sunset Valley
48453002323,Downtown - south
48453002322,Downtown - south
48453037300,West Travis County
48453030600,Far West Blvd
48453002438,Sunset Valley
48453000608,University of Texas
48453000606,University of Texas
48453000607,University of Texas
48453001101,Downtown - north
48453001310,West End
48453001102,Downtown - north
48453033100,West Travis County
48453037000,Oak Hill
48453033300,Sunset Valley
48453030900,Sunset Valley
48453037500,West Travis County
48453045000,Dessau
48453002221,Daffan
48453046600,Elgin
48453002218,Daffan
48453002006,Downtown - south
48453002007,Downtown - south
48453037600,West Travis County
48453034800,Oak Hill
